U_c / U_c(1);\sigma_{U_c / U_c(1)};f / f_0;\sigma_{f / f_0}
0,6099912358;0,0035400349;0,9618202456;0,0000715860
0,6609447248;0,0036226115;0,9664637292;0,0000717522
0,7178820756;0,0037202618;0,9711072129;0,0000719189
0,7657529693;0,0038064457;0,9747188113;0,0000720489
0,8155882620;0,0038998464;0,9783304097;0,0000721791
0,8651817825;0,0039962632;0,9819420080;0,0000723095
0,9179183414;0,0041023134;0,9860695491;0,0000724589
0,9657590136;0,0042014337;0,9907130327;0,0000726273
1,0000000000;0,0042739689;1,0000000000;0,0000729653
0,9654265768;0,0042007358;1,0072231970;0,0000732293
0,9122971380;0,0040908447;1,0128985660;0,0000734374
0,8001752848;0,0038705744;1,0227014760;0,0000737982
0,7406691045;0,0037608385;1,0278609020;0,0000739887
0,6897458370;0,0036713235;1,0325043860;0,0000741606
0,6372208287;0,0035835775;1,0376638120;0,0000743521
0,6079663937;0,0035368521;1,0407594680;0,0000744672
