f / f_0;\sigma_{f/f_0};\phi_C / \pi;\sigma_{\phi_C/pi};;
0,920035214;0,0000498440;0,1;0,003378652;;
0,982393075;0,0000514203;0,157894737;0,00549022;;
0,978724965;0,0000513260;0,210526316;0,007186045;;
0,986061184;0,0000515146;0,263157895;0,008832657;;
0,989729294;0,0000516092;0,315789474;0,010437885;;
0,995598269;0,0000517609;0,368421053;0,012008171;;
1;0,0000518749;0,421052632;0,013548845;;
1,009537085;0,0000521229;0,52631579;0,016558349;;
1,01540606;0,0000522760;0,578947368;0,018033988;;
1,022742279;0,0000524681;0,631578947;0,019493871;;
1,037414716;0,0000528543;0,684210526;0,020940211;;
