f / f_0;\sigma_{f/f_0};\phi_C / \pi;\sigma_{\phi_C/pi}
0,918271734;0,0000706743;0,068965517;0,017282333
0,944299844;0,0000715977;0,107142857;0,017959347
0,95991671;0,0000721583;0,148148148;0,018720637
0,970327954;0,0000725346;0,185185185;0,018833375
0,976574701;0,0000727615;0,222222222;0,018970256
0,983862572;0,0000730270;0,259259259;0,019130762
0,989588756;0,0000732364;0,296296296;0,019314304
1;0,0000736186;0,407407407;0,019996406
1,020822488;0,0000743890;0,615384615;0,022580381
1,030192608;0,0000747382;0,653846154;0,022976664
1,037480479;0,0000750109;0,72;0,024644675
1,047371161;0,0000753825;0,76;0,02512051
1,057261843;0,0000757557;0,8;0,025612497
1,069755336;0,0000762295;0,84;0,026119724
1,087454451;0,0000769052;0,875;0,027682671
1,113482561;0,0000779079;0,875;0,027682671
