B, Tl;\sigma_B, Tl;H, kA/m;\sigma_H, A/m
1,43;0;5,24399622;0,026367495
1,17294008;0,02726531;3,256469291;0,016518844
0,98066762;0,047670666;2,714467132;0,013855169
0,92632975;0,053523863;2,217975329;0,01143428
0,867812045;0,059813453;1,97699883;0,010269884
0,838553192;0,063085866;1,804817055;0,009444126
0,817654012;0,065535039;1,58194443;0,008385768
0,790485077;0,068598359;1,369544201;0,007392475
0,767495979;0,07124955;1,036989947;0,00588567
0,731967372;0,075157457;0,611576742;0,004136189
0,692258929;0,079493864;0;0
0,644190814;0,084694571;-0,611242517;0,004134953
0,537604993;0,09603962;-1,036321496;0,005882725
0,339062779;0,117108651;-1,369544201;0,007392475
0,052744006;0,147473004;-1,585063867;0,008400482
-0,200136078;0,174295632;-1,803925787;0,009439868
-0,488544768;0,204881361;-1,418006881;0,007617479
-0,674547475;0,224623099;-2,213797512;0,011414022
-0,887719116;0,247240896;-2,702379314;0,013795969
-1,174037888;0,277605249;-3,250898868;0,016491391
-1,347501086;0,296019947;-5,234526501;0,026320412
-1,656808957;0,328819533;-9,606194478;0,048111659
-1,387209529;0,35741295;-5,240653966;0,026350878
-1,130149609;0,38467826;-3,254241121;0,016507863
-0,939967067;0,404862404;-2,712796005;0,013846984
-0,877269525;0,411589252;-2,215691456;0,011423205
-0,820841738;0,417660526;-1,975940449;0,01026479
-0,791582885;0,420932939;-1,804705646;0,009443594
-0,772773623;0,423183763;-1,581443092;0,008383404
-0,747694606;0,426039863;-1,369767018;0,007393507
-0,726795426;0,428489035;-1,036655722;0,005884198
-0,691266819;0,432396943;-0,611632446;0,004136394
-0,649468458;0,436948641;0;0
-0,601400343;0,442149348;0,611242517;0,004134953
-0,492724604;0,45371498;1,036265792;0,00588248
-0,290002554;0,47522649;1,369544201;0,007392475
-0,009953535;0,504926726;1,57943774;0,008373947
0,242926549;0,531749354;1,803925787;0,009439868
0,533425157;0,562556461;1,974937773;0,010259965
0,721517782;0,582519399;2,213518991;0,011412671
0,936779341;0,605358468;2,702936356;0,013798697
1,212648523;0,63461597;3,25145591;0,016494137
1,388201639;0,653251822;5,235083543;0,026323182
1,695419592;0,685830015;9,617335324;0,04816727
