U, V;\sigma_U;I, mkA;\sigma_I
24,93;0,005;106,94;0,005
23;0,005;105,5;0,005
21,03;0,005;103,85;0,005
19;0,005;101,47;0,005
17,11;0,005;98,34;0,005
15,1;0,005;93,82;0,005
12,96;0,005;87,53;0,005
11,13;0,005;80,82;0,005
8,98;0,005;71,28;0,005
7;0,005;61,08;0,005
5,16;0,005;50,51;0,005
2,99;0,005;36,51;0,005
0,94;0,005;20,86;0,005
-1,1;0,005;-18,58;0,005
-3,01;0,005;-32,72;0,005
-5,03;0,005;-47,43;0,005
-7,35;0,005;-61,15;0,005
-9,14;0,005;-70,75;0,005
-11,05;0,005;-80,13;0,005
-13,11;0,005;-89,05;0,005
-15,05;0,005;-95,97;0,005
-16,82;0,005;-101,46;0,005
-19;0,005;-106,54;0,005
-20,93;0,005;-109,78;0,005
-23,01;0,005;-112,29;0,005
-24,94;0,005;-114,02;0,005
