U, V;\sigma_U;I, mkA;\sigma_I
24,973;0,005;32,83;0,005
23,085;0,005;32,15;0,005
21,038;0,005;31,4;0,005
19,028;0,005;30,61;0,005
17,025;0,005;29,84;0,005
15,083;0,005;28,97;0,005
13,013;0,005;27,66;0,005
11,053;0,005;25,88;0,005
9,065;0,005;23,3;0,005
7,055;0,005;19,71;0,005
5,003;0,005;14,89;0,005
3,0065;0,005;8,94;0,005
1,0928;0,005;2,35;0,005
-1,0709;0,005;-6,89;0,005
-3,0104;0,005;-13,55;0,005
-5,009;0,005;-19,47;0,005
-7,051;0,005;-24,31;0,005
-9,061;0,005;-27,95;0,005
-11,024;0,005;-30,6;0,005
-13,28;0,005;-32,53;0,005
-15,053;0,005;-33,88;0,005
-17,083;0,005;-34,92;0,005
-19,063;0,005;-35,75;0,005
-21,095;0,005;-36,53;0,005
-23,037;0,005;-37,44;0,005
-24,969;0,005;-38,25;0,005
;;;
