U, V;\sigma_U;I, mkA;\sigma_I
24,969;0,005;65,45;0,005
23,024;0,005;64,24;0,005
21,015;0,005;63,01;0,005
19,051;0,005;61,7;0,005
17,022;0,005;60,19;0,005
15,041;0,005;58,26;0,005
13,026;0,005;55,45;0,005
11,008;0,005;51,45;0,005
9,039;0,005;46,07;0,005
5,022;0,005;30,04;0,005
3,0247;0,005;19;0,005
0,9458;0,005;6,93;0,005
-1,0501;0,005;-15,75;0,005
-3,0344;0,005;-27,56;0,005
-4,9393;0,005;-37,58;0,005
-7,036;0,005;-47,05;0,005
-9,036;0,005;-54,22;0,005
-10,996;0,005;-59,6;0,005
-13,001;0,005;-63,7;0,005
-15,029;0,005;-66,67;0,005
-17,034;0,005;-68,81;0,005
-19,057;0,005;-70,48;0,005
-21,022;0,005;-71,88;0,005
-23,141;0,005;-73,29;0,005
-24,973;0,005;-74,53;0,005
