Частота,Канал A
(kГц),(В)

0.00000000,1.65443500
0.00596046,1.13899000
0.01192093,0.76932640
0.01788139,0.23872810
0.02384186,0.02288620
0.02980232,0.00406793
0.03576279,0.00450795
0.04172325,0.00456660
0.04768372,0.00372308
0.05364418,0.00178047
0.05960464,0.00062726
0.06556511,0.00215340
0.07152557,0.00303619
0.07748604,0.00301895
0.08344650,0.00295142
0.08940697,0.00180142
0.09536743,0.00037415
0.10132790,0.00064296
0.10728836,0.00113368
0.11324883,0.00126324
0.11920929,0.00127866
0.12516975,0.00106597
0.13113022,0.00048592
0.13709068,0.00026898
0.14305115,0.00057894
0.14901161,0.00078100
0.15497208,0.00084972
0.16093254,0.00081813
0.16689301,0.00054027
0.17285347,0.00012319
0.17881393,0.00110693
0.18477440,0.00203786
0.19073486,0.00217610
0.19669533,0.00217745
0.20265579,0.00164657
0.20861626,0.00055961
0.21457672,0.00075090
0.22053719,0.00179198
0.22649765,0.00237205
0.23245811,0.00235197
0.23841858,0.00215454
0.24437904,0.00112965
0.25033951,0.00027556
0.25629997,0.00039361
0.26226044,0.00052811
0.26822090,0.00055987
0.27418137,0.00042646
0.28014183,0.00037445
0.28610229,0.00038491
0.29206276,0.00215683
0.29802322,0.00489535
0.30398369,0.00611942
0.30994415,0.00609653
0.31590462,0.00543732
0.32186508,0.00306055
0.32782555,0.00385973
0.33378601,0.01121253
0.33974648,0.01733186
0.34570694,0.01812369
0.35166740,0.01764396
0.35762787,0.01233035
0.36358833,0.00388044
0.36954880,0.00086228
0.37550926,0.00249733
0.38146973,0.00294404
0.38743019,0.00288506
0.39339066,0.00246353
0.39935112,0.00115162
0.40531158,0.00030857
0.41127205,0.00042596
0.41723251,0.00062179
0.42319298,0.00062890
0.42915344,0.00058580
0.43511391,0.00038758
0.44107437,0.00020877
0.44703484,0.00083386
0.45299530,0.00171774
0.45895576,0.00197429
0.46491623,0.00199269
0.47087669,0.00169276
0.47683716,0.00076012
0.48279762,0.00031580
0.48875809,0.00126484
0.49471855,0.00177477
0.50067902,0.00174685
0.50663948,0.00161056
0.51259995,0.00089839
0.51856041,0.00004856
0.52452087,0.00051173
0.53048134,0.00072681
0.53644180,0.00074596
0.54240227,0.00069028
0.54836273,0.00055238
0.55432320,0.00032141
0.56028366,0.00059359
0.56624413,0.00129689
0.57220459,0.00167036
0.57816505,0.00162055
0.58412552,0.00147096
0.59008598,0.00078315
0.59604645,0.00038221
0.60200691,0.00246827
0.60796738,0.00429315
0.61392784,0.00469602
0.61988831,0.00461421
0.62584877,0.00352956
0.63180923,0.00084746
0.63776970,0.00408051
0.64373016,0.01044823
0.64969063,0.01327440
0.65565109,0.01346372
0.66161156,0.01223407
0.66757202,0.00694483
0.67353249,0.00165309
0.67949295,0.00018712
0.68545341,0.00039887
0.69141388,0.00033616
0.69737434,0.00044256
0.70333481,0.00033539
0.70929527,0.00013385
0.71525574,0.00108708
0.72121620,0.00242470
0.72717667,0.00305232
0.73313713,0.00306677
0.73909760,0.00283086
0.74505806,0.00142487
0.75101852,0.00027289
0.75697899,0.00159909
0.76293945,0.00247867
0.76889992,0.00268848
0.77486038,0.00253165
0.78082085,0.00186331
0.78678131,0.00059825
0.79274178,0.00023332
0.79870224,0.00077440
0.80466270,0.00089741
0.81062317,0.00096860
0.81658363,0.00081314
0.82254410,0.00042052
0.82850456,0.00025090
0.83446503,0.00056404
0.84042549,0.00084207
0.84638596,0.00092352
0.85234642,0.00087152
0.85830688,0.00060328
0.86426735,0.00006404
0.87022781,0.00109071
0.87618828,0.00212504
0.88214874,0.00239815
0.88810921,0.00232824
0.89406967,0.00199924
0.90003014,0.00082580
0.90599060,0.00041922
0.91195107,0.00187836
0.91791153,0.00243001
0.92387199,0.00263559
0.92983246,0.00236291
0.93579292,0.00166334
0.94175339,0.00042276
0.94771385,0.00004002
0.95367432,0.00061750
0.95963478,0.00022985
0.96559525,0.00082784
0.97155571,0.00041709
0.97751617,0.04365901
0.98347664,0.35523270
0.98943710,0.93186010
0.99539757,1.22370600
1.00135803,1.23916400
1.00731850,1.14994700
1.01327896,0.67448570
1.01923943,0.16508160
1.02519989,0.00707848
1.03116035,0.00573961
1.03712082,0.00568928
1.04308128,0.00595155
1.04904175,0.00428891
1.05500221,0.00180016
1.06096268,0.00053486
1.06692314,0.00138636
1.07288361,0.00176570
1.07884407,0.00170270
1.08480453,0.00160278
1.09076500,0.00079341
1.09672546,0.00016629
1.10268593,0.00027353
1.10864639,0.00048391
1.11460686,0.00054105
1.12056732,0.00055036
1.12652779,0.00044661
1.13248825,0.00025520
1.13844872,0.00070768
1.14440918,0.00164408
1.15036964,0.00200714
1.15633011,0.00209099
1.16229057,0.00186619
1.16825104,0.00097012
1.17421150,0.00022748
1.18017197,0.00136910
1.18613243,0.00214308
1.19209290,0.00223207
1.19805336,0.00217738
1.20401382,0.00150057
1.20997429,0.00045176
1.21593475,0.00028840
1.22189522,0.00062241
1.22785568,0.00075911
1.23381615,0.00074821
1.23977661,0.00056393
1.24573708,0.00031348
1.25169754,0.00057469
1.25765800,0.00159078
1.26361847,0.00228599
1.26957893,0.00244088
1.27553940,0.00233690
1.28149986,0.00152300
1.28746033,0.00043164
1.29342079,0.00412009
1.29938126,0.00810928
1.30534172,0.00914276
1.31130219,0.00909530
1.31726265,0.00737591
1.32322311,0.00356220
1.32918358,0.00358208
1.33514404,0.00887570
1.34110451,0.01208307
1.34706497,0.01238579
1.35302544,0.01155982
1.35898590,0.00706843
1.36494637,0.00176102
1.37090683,0.00026530
1.37686729,0.00041662
1.38282776,0.00053880
1.38878822,0.00056845
1.39474869,0.00054145
1.40070915,0.00018378
1.40666962,0.00062360
1.41263008,0.00185853
1.41859055,0.00248119
1.42455101,0.00256469
1.43051147,0.00237946
1.43647194,0.00145702
1.44243240,0.00028028
1.44839287,0.00105517
1.45435333,0.00191197
1.46031380,0.00206833
1.46627426,0.00200815
1.47223473,0.00151003
1.47819519,0.00044661
1.48415565,0.00030471
1.49011612,0.00067984
1.49607658,0.00068373
1.50203705,0.00057825
1.50799751,0.00035157
1.51395798,0.00009834
1.51991844,0.00012922
1.52587891,0.00038602
1.53183937,0.00080740
1.53779984,0.00097435
1.54376030,0.00096108
1.54972076,0.00072111
1.55568123,0.00006559
1.56164169,0.00121067
1.56760216,0.00255719
1.57356262,0.00295141
1.57952309,0.00294190
1.58548355,0.00244767
1.59144402,0.00111088
1.59740448,0.00058713
1.60336494,0.00243016
1.60932541,0.00365008
1.61528587,0.00374876
1.62124634,0.00359180
1.62720680,0.00235174
1.63316727,0.00067029
1.63912773,0.00034349
1.64508820,0.00066908
1.65104866,0.00081294
1.65700912,0.00083721
1.66296959,0.00073770
1.66893005,0.00036579
1.67489052,0.00127161
1.68085098,0.00440357
1.68681145,0.00635180
1.69277191,0.00648842
1.69873238,0.00630693
1.70469284,0.00408819
1.71065331,0.00090543
1.71661377,0.00164087
1.72257423,0.00328601
1.72853470,0.00379867
1.73449516,0.00380057
1.74045563,0.00319072
1.74641609,0.00139079
1.75237656,0.00015701
1.75833702,0.00096824
1.76429749,0.00134622
1.77025795,0.00143806
1.77621841,0.00132130
1.78217888,0.00092871
1.78813934,0.00043350
1.79409981,0.00058985
1.80006027,0.00079931
1.80602074,0.00088045
1.81198120,0.00078229
1.81794167,0.00064482
1.82390213,0.00018229
1.82986259,0.00060335
1.83582306,0.00162026
1.84178352,0.00210480
1.84774399,0.00215829
1.85370445,0.00195202
1.85966492,0.00111277
1.86562538,0.00002551
1.87158585,0.00119163
1.87754631,0.00198629
1.88350677,0.00212470
1.88946724,0.00205200
1.89542770,0.00161519
1.90138817,0.00056157
1.90734863,0.00004171
1.91330910,0.00046520
1.91926956,0.00043912
1.92523003,0.00060531
1.93119049,0.00045264
1.93715096,0.00045032
1.94311142,0.00062919
1.94907188,0.00269017
1.95503235,0.00360171
1.96099281,0.00419318
1.96695328,0.00347046
1.97291374,0.00431948
1.97887421,0.05708963
1.98483467,0.33746610
1.99079514,0.73313300
1.99675560,0.87333970
2.00271606,0.87493810
2.00867653,0.76265600
2.01463699,0.38091490
2.02059746,0.07173217
2.02655792,0.00110146
2.03251839,0.00390769
2.03847885,0.00344960
2.04443932,0.00378323
2.05039978,0.00223026
2.05636024,0.00099673
2.06232071,0.00019218
2.06828117,0.00060841
2.07424164,0.00054923
2.08020210,0.00068149
2.08616257,0.00051675
2.09212303,0.00035382
2.09808350,0.00030336
2.10404396,0.00124109
2.11000443,0.00189971
2.11596489,0.00192875
2.12192535,0.00193725
2.12788582,0.00124958
2.13384628,0.00043895
2.13980675,0.00091261
2.14576721,0.00178493
2.15172768,0.00203990
2.15768814,0.00208172
2.16364861,0.00173163
2.16960907,0.00071562
2.17556953,0.00018717
2.18153000,0.00074124
2.18749046,0.00103240
2.19345093,0.00108486
2.19941139,0.00100822
2.20537186,0.00064227
2.21133232,0.00030011
2.21729279,0.00065671
2.22325325,0.00120413
2.22921371,0.00125601
2.23517418,0.00130158
2.24113464,0.00106095
2.24709511,0.00028143
2.25305557,0.00118446
2.25901604,0.00300757
2.26497650,0.00392446
2.27093697,0.00400862
2.27689743,0.00370395
2.28285789,0.00203819
2.28881836,0.00055171
2.29477882,0.00388133
2.30073929,0.00644629
2.30669975,0.00686844
2.31266022,0.00664253
2.31862068,0.00484111
2.32458115,0.00164635
2.33054161,0.00014558
2.33650208,0.00039294
2.34246254,0.00036417
2.34842300,0.00034619
2.35438347,0.00038726
2.36034393,0.00029847
2.36630440,0.00046505
2.37226486,0.00203698
2.37822533,0.00335414
2.38418579,0.00358736
2.39014626,0.00357893
2.39610672,0.00257511
2.40206718,0.00073143
2.40802765,0.00097812
2.41398811,0.00240035
2.41994858,0.00296466
2.42590904,0.00303790
2.43186951,0.00271310
2.43782997,0.00147087
2.44379044,0.00030770
2.44975090,0.00049942
2.45571136,0.00086111
2.46167183,0.00086534
2.46763229,0.00079184
2.47359276,0.00047426
2.47955322,0.00007788
2.48551369,0.00018767
2.49147415,0.00067001
2.49743462,0.00096000
2.50339508,0.00112752
2.50935555,0.00112083
2.51531601,0.00069280
2.52127647,0.00016851
2.52723694,0.00126628
2.53319740,0.00193934
2.53915787,0.00205021
2.54511833,0.00197241
2.55107880,0.00122565
2.55703926,0.00012293
2.56299973,0.00132263
2.56896019,0.00233863
2.57492065,0.00255419
2.58088112,0.00250000
2.58684158,0.00188219
2.59280205,0.00064608
2.59876251,0.00023316
2.60472298,0.00058754
2.61068344,0.00070573
2.61664391,0.00066077
2.62260437,0.00053763
2.62856483,0.00031124
2.63452530,0.00150569
2.64048576,0.00655012
2.64644623,0.01147409
2.65240669,0.01239628
2.65836716,0.01226328
2.66432762,0.00942909
2.67028809,0.00391715
2.67624855,0.00304911
2.68220901,0.00678555
2.68816948,0.00860679
2.69412994,0.00868130
2.70009041,0.00797327
2.70605087,0.00446139
2.71201134,0.00071746
2.71797180,0.00117375
2.72393227,0.00207702
2.72989273,0.00227138
2.73585320,0.00228860
2.74181366,0.00172950
2.74777412,0.00074361
2.75373459,0.00041115
2.75969505,0.00058949
2.76565552,0.00064622
2.77161598,0.00060365
2.77757645,0.00048293
2.78353691,0.00018605
2.78949738,0.00054291
2.79545784,0.00144857
2.80141830,0.00205416
2.80737877,0.00211096
2.81333923,0.00199020
2.81929970,0.00137683
2.82526016,0.00028549
2.83122063,0.00084015
2.83718109,0.00184267
2.84314156,0.00216468
2.84910202,0.00217157
2.85506248,0.00181716
2.86102295,0.00090111
2.86698341,0.00008039
2.87294388,0.00037904
2.87890434,0.00059010
2.88486481,0.00059096
2.89082527,0.00060965
2.89678574,0.00045092
2.90274620,0.00031320
2.90870667,0.00087942
2.91466713,0.00169276
2.92062759,0.00188633
2.92658806,0.00181214
2.93254852,0.00154931
2.93850899,0.00055509
2.94446945,0.00150085
2.95042992,0.00451546
2.95639038,0.00595085
2.96235085,0.00612732
2.96831131,0.00554244
2.97427177,0.00548355
2.98023224,0.04513057
2.98619270,0.20310790
2.99215317,0.37261630
2.99811363,0.41231240
3.00407410,0.40960620
3.01003456,0.32743710
3.01599503,0.13663870
3.02195549,0.01954396
3.02791595,0.00082859
3.03387642,0.00052867
3.03983688,0.00081462
3.04579735,0.00062041
3.05175781,0.00051588
3.05771828,0.00026546
3.06367874,0.00135406
3.06963921,0.00244800
3.07559967,0.00255332
3.08156013,0.00260801
3.08752060,0.00199677
3.09348106,0.00080871
3.09944153,0.00046416
3.10540199,0.00158597
3.11136246,0.00209891
3.11732292,0.00214802
3.12328339,0.00203592
3.12924385,0.00117213
3.13520432,0.00040823
3.14116478,0.00047340
3.14712524,0.00079102
3.15308571,0.00083132
3.15904617,0.00089589
3.16500664,0.00066666
3.17096710,0.00030103
3.17692757,0.00027722
3.18288803,0.00061121
3.18884850,0.00063970
3.19480896,0.00063730
3.20076942,0.00053928
3.20672989,0.00025167
3.21269035,0.00041587
3.21865082,0.00154073
3.22461128,0.00241668
3.23057175,0.00248719
3.23653221,0.00251005
3.24249268,0.00176241
3.24845314,0.00037421
3.25441360,0.00128375
3.26037407,0.00273277
3.26633453,0.00329655
3.27229500,0.00333153
3.27825546,0.00290026
3.28421593,0.00140805
3.29017639,0.00019792
3.29613686,0.00036311
3.30209732,0.00052057
3.30805779,0.00049842
3.31401825,0.00036828
3.31997871,0.00025128
3.32593918,0.00131799
3.33189964,0.00586033
3.33786011,0.01114479
3.34382057,0.01247683
3.34978104,0.01244696
3.35574150,0.01034137
3.36170197,0.00459323
3.36766243,0.00050079
3.37362289,0.00309008
3.37958336,0.00440932
3.38554382,0.00454391
3.39150429,0.00434752
3.39746475,0.00269382
3.40342522,0.00058838
3.40938568,0.00070470
3.41534615,0.00146043
3.42130661,0.00172958
3.42726707,0.00180712
3.43322754,0.00155458
3.43918800,0.00084037
3.44514847,0.00053454
3.45110893,0.00072821
3.45706940,0.00087111
3.46302986,0.00091956
