Частота,Канал A
(kГц),(В)

0.00000000,0.29561650
0.04768372,0.20339490
0.09536743,0.13729620
0.14305115,0.04250659
0.19073486,0.00381452
0.23841858,0.00031258
0.28610229,0.00033430
0.33378601,0.00034615
0.38146973,0.00031669
0.42915344,0.00022678
0.47683716,0.00018613
0.52452087,0.00013691
0.57220459,0.00014786
0.61988831,0.00034434
0.66757202,0.00049444
0.71525574,0.00054092
0.76293945,0.00047498
0.81062317,0.00022638
0.85830688,0.00005428
0.90599060,0.00002363
0.95367432,0.00010010
1.00135803,0.00024862
1.04904175,0.00047348
1.09672546,0.00062458
1.14440918,0.00066737
1.19209290,0.00061294
1.23977661,0.00050951
1.28746033,0.00031698
1.33514404,0.00023977
1.38282776,0.00035664
1.43051147,0.00044244
1.47819519,0.00037782
1.52587891,0.00020429
1.57356262,0.00013132
1.62124634,0.00019419
1.66893005,0.00031403
1.71661377,0.00026802
1.76429749,0.00010316
1.81198120,0.00008895
1.85966492,0.00028342
1.90734863,0.00045015
1.95503235,0.00043569
2.00271606,0.00031215
2.05039978,0.00024934
2.09808350,0.00029423
2.14576721,0.00025380
2.19345093,0.00031662
2.24113464,0.00044417
2.28881836,0.00044385
2.33650208,0.00041832
2.38418579,0.00040012
2.43186951,0.00027517
2.47955322,0.00013737
2.52723694,0.00005606
2.57492065,0.00022354
2.62260437,0.00030211
2.67028809,0.00032430
2.71797180,0.00040827
2.76565552,0.00053483
2.81333923,0.00062251
2.86102295,0.00059782
2.90870667,0.00044822
2.95639038,0.00027934
3.00407410,0.00016507
3.05175781,0.00012114
3.09944153,0.00024147
3.14712524,0.00033190
3.19480896,0.00040428
3.24249268,0.00043475
3.29017639,0.00032160
3.33786011,0.00021535
3.38554382,0.00012276
3.43322754,0.00016679
3.48091125,0.00036855
3.52859497,0.00047589
3.57627869,0.00040310
3.62396240,0.00024048
3.67164612,0.00025551
3.71932983,0.00029123
3.76701355,0.00029754
3.81469727,0.00038362
3.86238098,0.00048538
3.91006470,0.00043860
3.95774841,0.00028342
4.00543213,0.00016238
4.05311584,0.00007574
4.10079956,0.00007717
4.14848328,0.00017428
4.19616699,0.00032743
4.24385071,0.00053303
4.29153442,0.00069361
4.33921814,0.00079719
4.38690186,0.00081216
4.43458557,0.00064656
4.48226929,0.00045334
4.52995300,0.00025017
4.57763672,0.00008024
4.62532043,0.00026333
4.67300415,0.00031427
4.72068787,0.00028297
4.76837158,0.00020926
4.81605530,0.00020892
4.86373901,0.00018459
4.91142273,0.00013437
4.95910645,0.00012227
5.00679016,0.00033517
5.05447388,0.00047371
5.10215759,0.00057281
5.14984131,0.00058634
5.19752502,0.00048451
5.24520874,0.00035086
5.29289246,0.00033918
5.34057617,0.00038525
5.38825989,0.00039438
5.43594360,0.00031263
5.48362732,0.00020006
5.53131104,0.00018594
5.57899475,0.00024228
5.62667847,0.00035245
5.67436218,0.00041564
5.72204590,0.00037250
5.76972961,0.00023038
5.81741333,0.00001361
5.86509705,0.00024565
5.91278076,0.00037510
5.96046448,0.00035013
6.00814819,0.00014927
6.05583191,0.00016999
6.10351563,0.00032203
6.15119934,0.00035479
6.19888306,0.00034405
6.24656677,0.00023154
6.29425049,0.00002135
6.34193420,0.00054413
6.38961792,0.00119777
6.43730164,0.00147307
6.48498535,0.00155573
6.53266907,0.00142319
6.58035278,0.00090581
6.62803650,0.00058195
6.67572021,0.00048157
6.72340393,0.00029525
6.77108765,0.00007481
6.81877136,0.00013368
6.86645508,0.00019425
6.91413879,0.00023508
6.96182251,0.00018299
7.00950623,0.00005657
7.05718994,0.00020915
7.10487366,0.00038160
7.15255737,0.00040026
7.20024109,0.00030797
7.24792480,0.00015371
7.29560852,0.00011784
7.34329224,0.00012037
7.39097595,0.00004037
7.43865967,0.00013732
7.48634338,0.00024582
7.53402710,0.00028662
7.58171082,0.00032606
7.62939453,0.00028158
7.67707825,0.00020459
7.72476196,0.00027495
7.77244568,0.00030327
7.82012939,0.00037198
7.86781311,0.00034333
7.91549683,0.00024027
7.96318054,0.00017454
8.01086426,0.00020733
8.05854797,0.00031885
8.10623169,0.00038093
8.15391541,0.00036995
8.20159912,0.00030019
8.24928284,0.00011301
8.29696655,0.00012448
8.34465027,0.00019953
8.39233398,0.00018934
8.44001770,0.00015954
8.48770142,0.00014576
8.53538513,0.00016086
8.58306885,0.00011443
8.63075256,0.00002843
8.67843628,0.00018994
8.72612000,0.00037658
8.77380371,0.00045241
8.82148743,0.00033875
8.86917114,0.00029762
8.91685486,0.00033952
8.96453857,0.00034081
9.01222229,0.00034362
9.05990601,0.00039742
9.10758972,0.00047236
9.15527344,0.00040178
9.20295715,0.00024745
9.25064087,0.00013015
9.29832458,0.00020293
9.34600830,0.00038873
9.39369202,0.00045825
9.44137573,0.00032497
9.48905945,0.00015179
9.53674316,0.00017944
9.58442688,0.00020200
9.63211060,0.00017539
9.67979431,0.00007665
9.72747803,0.00015099
9.77516174,0.00017484
9.82284546,0.00027543
9.87052917,0.00047352
9.91821289,0.00061051
9.96589661,0.00064406
10.01358032,0.00057913
10.06126404,0.00045221
10.10894775,0.00024586
10.15663147,0.00013117
10.20431519,0.00016480
10.25199890,0.00017103
10.29968262,0.00016228
10.34736633,0.00017562
10.39505005,0.00018629
10.44273376,0.00024345
10.49041748,0.00036456
10.53810120,0.00040512
10.58578491,0.00037102
10.63346863,0.00027958
10.68115234,0.00014105
10.72883606,0.00005842
10.77651978,0.00003300
10.82420349,0.00003599
10.87188721,0.00016692
10.91957092,0.00034526
10.96725464,0.00047287
11.01493835,0.00048699
11.06262207,0.00054489
11.11030579,0.00057677
11.15798950,0.00047749
11.20567322,0.00036138
11.25335693,0.00020363
11.30104065,0.00012838
11.34872437,0.00024952
11.39640808,0.00029204
11.44409180,0.00026717
11.49177551,0.00017069
11.53945923,0.00008289
11.58714294,0.00002896
11.63482666,0.00012729
11.68251038,0.00017681
11.73019409,0.00020500
11.77787781,0.00021157
11.82556152,0.00008905
11.87324524,0.00023651
11.92092896,0.00041394
11.96861267,0.00055941
12.01629639,0.00058724
12.06398010,0.00043657
12.11166382,0.00023146
12.15934753,0.00005259
12.20703125,0.00012963
12.25471497,0.00016431
12.30239868,0.00010199
12.35008240,0.00002042
12.39776611,0.00006277
12.44544983,0.00007022
12.49313354,0.00009087
12.54081726,0.00019181
12.58850098,0.00027866
12.63618469,0.00037035
12.68386841,0.00044471
12.73155212,0.00045775
12.77923584,0.00050476
12.82691956,0.00057093
12.87460327,0.00055558
12.92228699,0.00050489
12.96997070,0.00050864
13.01765442,0.00047158
13.06533813,0.00036363
13.11302185,0.00025603
13.16070557,0.00012016
13.20838928,0.00005886
13.25607300,0.00016113
13.30375671,0.00029777
13.35144043,0.00038523
13.39912415,0.00034137
13.44680786,0.00029497
13.49449158,0.00020293
13.54217529,0.00011161
13.58985901,0.00008409
13.63754272,0.00028713
13.68522644,0.00037807
13.73291016,0.00035467
13.78059387,0.00031583
13.82827759,0.00028243
13.87596130,0.00029332
13.92364502,0.00031773
13.97132874,0.00035288
14.01901245,0.00038871
14.06669617,0.00036555
14.11437988,0.00025504
14.16206360,0.00012671
14.20974731,0.00021880
14.25743103,0.00039439
14.30511475,0.00043859
14.35279846,0.00030670
14.40048218,0.00026989
14.44816589,0.00030436
14.49584961,0.00032072
14.54353333,0.00030310
14.59121704,0.00023749
14.63890076,0.00023955
14.68658447,0.00024245
14.73426819,0.00014685
14.78195190,0.00008699
14.82963562,0.00013590
14.87731934,0.00018015
14.92500305,0.00020967
14.97268677,0.00022294
15.02037048,0.00023241
15.06805420,0.00032280
15.11573792,0.00039862
15.16342163,0.00040874
15.21110535,0.00043471
15.25878906,0.00039474
15.30647278,0.00025916
15.35415649,0.00014245
15.40184021,0.00010232
15.44952393,0.00012837
15.49720764,0.00016094
15.54489136,0.00009622
15.59257507,0.00004824
15.64025879,0.00001721
15.68794250,0.00007990
15.73562622,0.00007083
15.78330994,0.00005649
15.83099365,0.00005088
15.87867737,0.00002797
15.92636108,0.00010952
15.97404480,0.00021581
16.02172852,0.00025715
16.06941223,0.00021859
16.11709595,0.00022006
16.16477966,0.00021787
16.21246338,0.00024186
16.26014709,0.00030679
16.30783081,0.00035227
16.35551453,0.00032041
16.40319824,0.00027227
16.45088196,0.00013280
16.49856567,0.00013460
16.54624939,0.00025894
16.59393311,0.00026239
16.64161682,0.00020188
16.68930054,0.00029165
16.73698425,0.00033529
16.78466797,0.00031448
16.83235168,0.00024564
16.88003540,0.00015964
16.92771912,0.00016477
16.97540283,0.00011986
17.02308655,0.00003088
17.07077026,0.00007678
17.11845398,0.00011406
17.16613770,0.00009398
17.21382141,0.00004308
17.26150513,0.00007624
17.30918884,0.00021194
17.35687256,0.00028036
17.40455627,0.00021819
17.45223999,0.00009078
17.49992371,0.00009274
17.54760742,0.00019554
17.59529114,0.00029233
17.64297485,0.00037631
17.69065857,0.00048050
17.73834229,0.00052747
17.78602600,0.00048986
17.83370972,0.00035933
17.88139343,0.00019971
17.92907715,0.00017781
17.97676086,0.00032722
18.02444458,0.00041628
18.07212830,0.00041857
18.11981201,0.00042007
18.16749573,0.00033671
18.21517944,0.00023865
18.26286316,0.00013992
18.31054688,0.00017454
18.35823059,0.00057988
18.40591431,0.00095708
18.45359802,0.00097466
18.50128174,0.00097438
18.54896545,0.00080170
18.59664917,0.00047754
18.64433289,0.00066876
18.69201660,0.00130053
18.73970032,0.00158942
18.78738403,0.00156634
18.83506775,0.00140733
18.88275146,0.00085467
18.93043518,0.00048931
18.97811890,0.00083480
19.02580261,0.00100796
19.07348633,0.00075126
19.12117004,0.00060051
19.16885376,0.00036508
19.21653748,0.00024385
19.26422119,0.00024866
19.31190491,0.00023214
19.35958862,0.00026908
19.40727234,0.00026909
19.45495605,0.00030141
19.50263977,0.00030488
19.55032349,0.00032279
19.59800720,0.00043294
19.64569092,0.00044980
19.69337463,0.00036876
19.74105835,0.00029583
19.78874207,0.00028906
19.83642578,0.00038776
19.88410950,0.00053935
19.93179321,0.00057147
19.97947693,0.00048158
20.02716064,0.00031052
20.07484436,0.00017466
20.12252808,0.00030096
20.17021179,0.00028284
20.21789551,0.00017745
20.26557922,0.00008978
20.31326294,0.00004865
20.36094666,0.00006470
20.40863037,0.00013085
20.45631409,0.00023652
20.50399780,0.00031641
20.55168152,0.00029538
20.59936523,0.00022469
20.64704895,0.00016073
20.69473267,0.00010193
20.74241638,0.00008819
20.79010010,0.00012518
20.83778381,0.00010054
20.88546753,0.00014937
20.93315125,0.00026673
20.98083496,0.00036489
21.02851868,0.00045777
21.07620239,0.00049804
21.12388611,0.00041751
21.17156982,0.00027184
21.21925354,0.00018808
21.26693726,0.00011742
21.31462097,0.00007194
21.36230469,0.00007215
21.40998840,0.00015302
21.45767212,0.00027703
21.50535583,0.00030897
21.55303955,0.00029854
21.60072327,0.00026404
21.64840698,0.00031177
21.69609070,0.00046628
21.74377441,0.00048597
21.79145813,0.00047855
21.83914185,0.00037868
21.88682556,0.00020059
21.93450928,0.00011958
21.98219299,0.00008626
22.02987671,0.00020582
22.07756042,0.00027583
22.12524414,0.00023831
22.17292786,0.00023354
22.22061157,0.00036249
22.26829529,0.00047807
22.31597900,0.00047000
22.36366272,0.00042874
22.41134644,0.00037127
22.45903015,0.00018532
22.50671387,0.00008417
22.55439758,0.00028696
22.60208130,0.00045707
22.64976501,0.00057113
22.69744873,0.00059594
22.74513245,0.00051245
22.79281616,0.00034986
22.84049988,0.00025496
22.88818359,0.00028351
22.93586731,0.00030729
22.98355103,0.00031464
23.03123474,0.00025344
23.07891846,0.00016342
23.12660217,0.00001621
23.17428589,0.00022855
23.22196960,0.00042046
23.26965332,0.00053823
23.31733704,0.00058997
23.36502075,0.00052964
23.41270447,0.00044517
23.46038818,0.00037175
23.50807190,0.00027086
23.55575562,0.00019111
23.60343933,0.00019052
23.65112305,0.00018704
23.69880676,0.00020473
23.74649048,0.00030766
23.79417419,0.00034413
23.84185791,0.00027902
23.88954163,0.00027664
23.93722534,0.00030104
23.98490906,0.00035298
24.03259277,0.00040449
24.08027649,0.00040060
24.12796021,0.00035204
24.17564392,0.00035615
24.22332764,0.00026570
24.27101135,0.00008669
24.31869507,0.00026530
24.36637878,0.00037787
24.41406250,0.00035944
24.46174622,0.00019622
24.50942993,0.00014762
24.55711365,0.00024135
24.60479736,0.00029347
24.65248108,0.00028177
24.70016479,0.00025077
24.74784851,0.00013613
24.79553223,0.00019957
24.84321594,0.00056789
24.89089966,0.00081113
24.93858337,0.00088429
24.98626709,0.00073994
25.03395081,0.00028362
25.08163452,0.00036428
25.12931824,0.00122919
25.17700195,0.00186650
25.22468567,0.00189957
25.27236938,0.00165429
25.32005310,0.00101680
25.36773682,0.00026347
25.41542053,0.00035178
25.46310425,0.00037901
25.51078796,0.00032201
25.55847168,0.00022332
25.60615540,0.00024387
25.65383911,0.00022552
25.70152283,0.00020594
25.74920654,0.00027155
25.79689026,0.00040348
25.84457397,0.00040100
25.89225769,0.00033900
25.93994141,0.00040302
25.98762512,0.00045350
26.03530884,0.00045613
26.08299255,0.00045504
26.13067627,0.00039157
26.17835999,0.00029710
26.22604370,0.00019607
26.27372742,0.00020933
26.32141113,0.00033762
26.36909485,0.00045062
26.41677856,0.00050602
26.46446228,0.00051255
26.51214600,0.00046023
26.55982971,0.00026597
26.60751343,0.00003129
26.65519714,0.00031326
26.70288086,0.00051421
26.75056458,0.00054582
26.79824829,0.00044349
26.84593201,0.00028432
26.89361572,0.00027653
26.94129944,0.00034326
26.98898315,0.00036160
27.03666687,0.00034140
27.08435059,0.00028266
27.13203430,0.00021550
27.17971802,0.00024485
27.22740173,0.00023058
27.27508545,0.00014780
27.32276917,0.00006263
27.37045288,0.00020415
27.41813660,0.00038284
27.46582031,0.00055690
27.51350403,0.00060011
27.56118774,0.00049958
27.60887146,0.00038112
27.65655518,0.00026152
27.70423889,0.00011599
