Частота,Канал A
(kГц),(В)

0.00000000,0.29563710
0.04768372,0.20343390
0.09536743,0.13743020
0.14305115,0.04278470
0.19073486,0.00399011
0.23841858,0.00030391
0.28610229,0.00012607
0.33378601,0.00037290
0.38146973,0.00069338
0.42915344,0.00089716
0.47683716,0.00095977
0.52452087,0.00081896
0.57220459,0.00056247
0.61988831,0.00026364
0.66757202,0.00015065
0.71525574,0.00040447
0.76293945,0.00059544
0.81062317,0.00041128
0.85830688,0.00172566
0.90599060,0.00653847
0.95367432,0.00984598
1.00135803,0.01019482
1.04904175,0.00979552
1.09672546,0.00644769
1.14440918,0.00179228
1.19209290,0.00004076
1.23977661,0.00002405
1.28746033,0.00017689
1.33514404,0.00022243
1.38282776,0.00022638
1.43051147,0.00028394
1.47819519,0.00041903
1.52587891,0.00048532
1.57356262,0.00040524
1.62124634,0.00035569
1.66893005,0.00024029
1.71661377,0.00020504
1.76429749,0.00025429
1.81198120,0.00045719
1.85966492,0.00398551
1.90734863,0.01178243
1.95503235,0.01668734
2.00271606,0.01697657
2.05039978,0.01608483
2.09808350,0.01034713
2.14576721,0.00296348
2.19345093,0.00071545
2.24113464,0.00068140
2.28881836,0.00045998
2.33650208,0.00019877
2.38418579,0.00018501
2.43186951,0.00029808
2.47955322,0.00046786
2.52723694,0.00055342
2.57492065,0.00053347
2.62260437,0.00037594
2.67028809,0.00021980
2.71797180,0.00028708
2.76565552,0.00042570
2.81333923,0.00061234
2.86102295,0.00389483
2.90870667,0.01161564
2.95639038,0.01630065
3.00407410,0.01664315
3.05175781,0.01576950
3.09944153,0.00991682
3.14712524,0.00248574
3.19480896,0.00021927
3.24249268,0.00027572
3.29017639,0.00007684
3.33786011,0.00010554
3.38554382,0.00024811
3.43322754,0.00032986
3.48091125,0.00046254
3.52859497,0.00055351
3.57627869,0.00044951
3.62396240,0.00027232
3.67164612,0.00014259
3.71932983,0.00026248
3.76701355,0.00034293
3.81469727,0.00061885
3.86238098,0.00278774
3.91006470,0.00738110
3.95774841,0.01014307
4.00543213,0.01036703
4.05311584,0.00991367
4.10079956,0.00646004
4.14848328,0.00219401
4.19616699,0.00073080
4.24385071,0.00051270
4.29153442,0.00035117
4.33921814,0.00023628
4.38690186,0.00032592
4.43458557,0.00033892
4.48226929,0.00029198
4.52995300,0.00033469
4.57763672,0.00035408
4.62532043,0.00036612
4.67300415,0.00020357
4.72068787,0.00033190
4.76837158,0.00055460
4.81605530,0.00062098
4.86373901,0.00067126
4.91142273,0.00065660
4.95910645,0.00038251
5.00679016,0.00011961
5.05447388,0.00017449
5.10215759,0.00027509
5.14984131,0.00022531
5.19752502,0.00018836
5.24520874,0.00013456
5.29289246,0.00014674
5.34057617,0.00020447
5.38825989,0.00037720
5.43594360,0.00050481
5.48362732,0.00052215
5.53131104,0.00058302
5.57899475,0.00071203
5.62667847,0.00065072
5.67436218,0.00047220
5.72204590,0.00042709
5.76972961,0.00044150
5.81741333,0.00058327
5.86509705,0.00261728
5.91278076,0.00713092
5.96046448,0.00956828
6.00814819,0.00969183
6.05583191,0.00912723
6.10351563,0.00542568
6.15119934,0.00118470
6.19888306,0.00030140
6.24656677,0.00042553
6.29425049,0.00038670
6.34193420,0.00027255
6.38961792,0.00010521
6.43730164,0.00009642
6.48498535,0.00031052
6.53266907,0.00050372
6.58035278,0.00056691
6.62803650,0.00063791
6.67572021,0.00055923
6.72340393,0.00043766
6.77108765,0.00032611
6.81877136,0.00035642
6.86645508,0.00452975
6.91413879,0.01245603
6.96182251,0.01662939
7.00950623,0.01676330
7.05718994,0.01563943
7.10487366,0.00935495
7.15255737,0.00234189
7.20024109,0.00042833
7.24792480,0.00043027
7.29560852,0.00042970
7.34329224,0.00038342
7.39097595,0.00035517
7.43865967,0.00036287
7.48634338,0.00029401
7.53402710,0.00023500
7.58171082,0.00018775
7.62939453,0.00015865
7.67707825,0.00011518
7.72476196,0.00001921
7.77244568,0.00016812
7.82012939,0.00067194
7.86781311,0.00491361
7.91549683,0.01293141
7.96318054,0.01703247
8.01086426,0.01729430
8.05854797,0.01602524
8.10623169,0.00935443
8.15391541,0.00222865
8.20159912,0.00032712
8.24928284,0.00061708
8.29696655,0.00070244
8.34465027,0.00060440
8.39233398,0.00044458
8.44001770,0.00022575
8.48770142,0.00019978
8.53538513,0.00029514
8.58306885,0.00053153
8.63075256,0.00069188
8.67843628,0.00060525
8.72612000,0.00047568
8.77380371,0.00044239
8.82148743,0.00069501
8.86917114,0.00327966
8.91685486,0.00829996
8.96453857,0.01075685
9.01222229,0.01084682
9.05990601,0.01013925
9.10758972,0.00598498
9.15527344,0.00148682
9.20295715,0.00018463
9.25064087,0.00024748
9.29832458,0.00017702
9.34600830,0.00018607
9.39369202,0.00046109
9.44137573,0.00073602
9.48905945,0.00073310
9.53674316,0.00044464
9.58442688,0.00029357
9.63211060,0.00034573
9.67979431,0.00033756
9.72747803,0.00025518
9.77516174,0.00025349
9.82284546,0.00034893
9.87052917,0.00034085
9.91821289,0.00028099
9.96589661,0.00022984
10.01358032,0.00021048
10.06126404,0.00028448
10.10894775,0.00036026
10.15663147,0.00029159
10.20431519,0.00016036
10.25199890,0.00019621
10.29968262,0.00051511
10.34736633,0.00079921
10.39505005,0.00088788
10.44273376,0.00084922
10.49041748,0.00063225
10.53810120,0.00041481
10.58578491,0.00037162
10.63346863,0.00031250
10.68115234,0.00039948
10.72883606,0.00053915
10.77651978,0.00054571
10.82420349,0.00096344
10.87188721,0.00396893
10.91957092,0.00902111
10.96725464,0.01112233
11.01493835,0.01089759
11.06262207,0.00967713
11.11030579,0.00516001
11.15798950,0.00091764
11.20567322,0.00022400
11.25335693,0.00023828
11.30104065,0.00022163
11.34872437,0.00032190
11.39640808,0.00027506
11.44409180,0.00020136
11.49177551,0.00031098
11.53945923,0.00046632
11.58714294,0.00054248
11.63482666,0.00038964
11.68251038,0.00004430
11.73019409,0.00034371
11.77787781,0.00061963
11.82556152,0.00134687
11.87324524,0.00633679
11.92092896,0.01450044
11.96861267,0.01789686
12.01629639,0.01799531
12.06398010,0.01624596
12.11166382,0.00891342
12.15934753,0.00214647
12.20703125,0.00035664
12.25471497,0.00023555
12.30239868,0.00019835
12.35008240,0.00014546
12.39776611,0.00026055
12.44544983,0.00031864
12.49313354,0.00035252
12.54081726,0.00033266
12.58850098,0.00018661
12.63618469,0.00000966
12.68386841,0.00006898
12.73155212,0.00025585
12.77923584,0.00058340
12.82691956,0.00155533
12.87460327,0.00689667
12.92228699,0.01508300
12.96997070,0.01823032
13.01765442,0.01824753
13.06533813,0.01639817
13.11302185,0.00891790
13.16070557,0.00219196
13.20838928,0.00044908
13.25607300,0.00032416
13.30375671,0.00030370
13.35144043,0.00028885
13.39912415,0.00027446
13.44680786,0.00028419
13.49449158,0.00038244
13.54217529,0.00047161
13.58985901,0.00046244
13.63754272,0.00045398
13.68522644,0.00048586
13.73291016,0.00036385
13.78059387,0.00011508
13.82827759,0.00055649
13.87596130,0.00386765
13.92364502,0.00900445
13.97132874,0.01108964
14.01901245,0.01119367
14.06669617,0.01016828
14.11437988,0.00568590
14.16206360,0.00160186
14.20974731,0.00051572
14.25743103,0.00047737
14.30511475,0.00051888
14.35279846,0.00047144
14.40048218,0.00053414
14.44816589,0.00064533
14.49584961,0.00063729
14.54353333,0.00049482
14.59121704,0.00019126
14.63890076,0.00028548
14.68658447,0.00037597
14.73426819,0.00035557
14.78195190,0.00016161
14.82963562,0.00020325
14.87731934,0.00033692
14.92500305,0.00038518
14.97268677,0.00037336
15.02037048,0.00032535
15.06805420,0.00027354
15.11573792,0.00021881
15.16342163,0.00009809
15.21110535,0.00030127
15.25878906,0.00052956
15.30647278,0.00068798
15.35415649,0.00054848
15.40184021,0.00030760
15.44952393,0.00063484
15.49720764,0.00088108
15.54489136,0.00080871
15.59257507,0.00047827
15.64025879,0.00025379
15.68794250,0.00045129
15.73562622,0.00059052
15.78330994,0.00076219
15.83099365,0.00150783
15.87867737,0.00501415
15.92636108,0.01002877
15.97404480,0.01164679
16.02172852,0.01148725
16.06941223,0.00999522
16.11709595,0.00514438
16.16477966,0.00120401
16.21246338,0.00030410
16.26014709,0.00013182
16.30783081,0.00011952
16.35551453,0.00039495
16.40319824,0.00044735
16.45088196,0.00033901
16.49856567,0.00022106
16.54624939,0.00008746
16.59393311,0.00033075
16.64161682,0.00048094
16.68930054,0.00046473
16.73698425,0.00048732
16.78466797,0.00039967
16.83235168,0.00111934
16.88003540,0.00758382
16.92771912,0.01631341
16.97540283,0.01940217
17.02308655,0.01955473
17.07077026,0.01707082
17.11845398,0.00876681
17.16613770,0.00218828
17.21382141,0.00062610
17.26150513,0.00036348
17.30918884,0.00029356
17.35687256,0.00030216
17.40455627,0.00022879
17.45223999,0.00021572
17.49992371,0.00026229
17.54760742,0.00026552
17.59529114,0.00034367
17.64297485,0.00032090
17.69065857,0.00028700
17.73834229,0.00025930
17.78602600,0.00021201
17.83370972,0.00138367
17.88139343,0.00771236
17.92907715,0.01613568
17.97676086,0.01878295
18.02444458,0.01886544
18.07212830,0.01630249
18.11981201,0.00794110
18.16749573,0.00160066
18.21517944,0.00022697
18.26286316,0.00024470
18.31054688,0.00036844
18.35823059,0.00047004
18.40591431,0.00060055
18.45359802,0.00060695
18.50128174,0.00058584
18.54896545,0.00062555
18.59664917,0.00051025
18.64433289,0.00028797
18.69201660,0.00019052
18.73970032,0.00023334
18.78738403,0.00038631
18.83506775,0.00133970
18.88275146,0.00543284
18.93043518,0.01062630
18.97811890,0.01217612
19.02580261,0.01206155
19.07348633,0.01012041
19.12117004,0.00471888
19.16885376,0.00078724
19.21653748,0.00020336
19.26422119,0.00024541
19.31190491,0.00022886
19.35958862,0.00028501
19.40727234,0.00034081
19.45495605,0.00041802
19.50263977,0.00053434
19.55032349,0.00060332
19.59800720,0.00042805
19.64569092,0.00018247
19.69337463,0.00007862
19.74105835,0.00023573
19.78874207,0.00031008
19.83642578,0.00017558
19.88410950,0.00011580
19.93179321,0.00022334
19.97947693,0.00028309
20.02716064,0.00037397
20.07484436,0.00034062
20.12252808,0.00044887
20.17021179,0.00062341
20.21789551,0.00056155
20.26557922,0.00042923
20.31326294,0.00036414
20.36094666,0.00010707
20.40863037,0.00051431
20.45631409,0.00082494
20.50399780,0.00103180
20.55168152,0.00103100
20.59936523,0.00075616
20.64704895,0.00046744
20.69473267,0.00032834
20.74241638,0.00017599
20.79010010,0.00013673
20.83778381,0.00125541
20.88546753,0.00587273
20.93315125,0.01119375
20.98083496,0.01256524
21.02851868,0.01257994
21.07620239,0.01048538
21.12388611,0.00475661
21.17156982,0.00085135
21.21925354,0.00005497
21.26693726,0.00027767
21.31462097,0.00035375
21.36230469,0.00048356
21.40998840,0.00052737
21.45767212,0.00034004
21.50535583,0.00014264
21.55303955,0.00039750
21.60072327,0.00054357
21.64840698,0.00059308
21.69609070,0.00050738
21.74377441,0.00037310
21.79145813,0.00014727
21.83914185,0.00188538
21.88682556,0.00965523
21.93450928,0.01844944
21.98219299,0.02070054
22.02987671,0.02048388
22.07756042,0.01661796
22.12524414,0.00712827
22.17292786,0.00101915
22.22061157,0.00031579
22.26829529,0.00055796
22.31597900,0.00059123
22.36366272,0.00052817
22.41134644,0.00032847
22.45903015,0.00009694
22.50671387,0.00016340
22.55439758,0.00027478
22.60208130,0.00042569
22.64976501,0.00045678
22.69744873,0.00046711
22.74513245,0.00062392
22.79281616,0.00067241
22.84049988,0.00183096
22.88818359,0.00978252
22.93586731,0.01868345
22.98355103,0.02097339
23.03123474,0.02104459
23.07891846,0.01726525
23.12660217,0.00766012
23.17428589,0.00161219
23.22196960,0.00061995
23.26965332,0.00047233
23.31733704,0.00047281
23.36502075,0.00052981
23.41270447,0.00052035
23.46038818,0.00041077
23.50807190,0.00031599
23.55575562,0.00037457
23.60343933,0.00042367
23.65112305,0.00050891
23.69880676,0.00063855
23.74649048,0.00058875
23.79417419,0.00032826
23.84185791,0.00167666
23.88954163,0.00705053
23.93722534,0.01269861
23.98490906,0.01396727
24.03259277,0.01374372
24.08027649,0.01101953
24.12796021,0.00486171
24.17564392,0.00123449
24.22332764,0.00077229
24.27101135,0.00058198
24.31869507,0.00020879
24.36637878,0.00023904
24.41406250,0.00035074
24.46174622,0.00039038
24.50942993,0.00028077
24.55711365,0.00034024
24.60479736,0.00041789
24.65248108,0.00045458
24.70016479,0.00052285
24.74784851,0.00055996
24.79553223,0.00055462
24.84321594,0.00059665
24.89089966,0.00058056
24.93858337,0.00040336
24.98626709,0.00032838
25.03395081,0.00023254
25.08163452,0.00012618
25.12931824,0.00036618
25.17700195,0.00041690
25.22468567,0.00022969
25.27236938,0.00023369
25.32005310,0.00027673
25.36773682,0.00047272
25.41542053,0.00046147
25.46310425,0.00040342
25.51078796,0.00042514
25.55847168,0.00032819
25.60615540,0.00021397
25.65383911,0.00035357
25.70152283,0.00050845
25.74920654,0.00048100
25.79689026,0.00023022
25.84457397,0.00158999
25.89225769,0.00732668
25.93994141,0.01303675
25.98762512,0.01425961
26.03530884,0.01417275
26.08299255,0.01115796
26.13067627,0.00465645
26.17835999,0.00093106
26.22604370,0.00039862
26.27372742,0.00036942
26.32141113,0.00027061
26.36909485,0.00025078
26.41677856,0.00032283
26.46446228,0.00033419
26.51214600,0.00034565
26.55982971,0.00032424
26.60751343,0.00027552
26.65519714,0.00004472
26.70288086,0.00024744
26.75056458,0.00021815
26.79824829,0.00010072
26.84593201,0.00310324
26.89361572,0.01290806
26.94129944,0.02218132
26.98898315,0.02394129
27.03666687,0.02368986
27.08435059,0.01838807
27.13203430,0.00741734
27.17971802,0.00126823
27.22740173,0.00030153
27.27508545,0.00025044
27.32276917,0.00059526
27.37045288,0.00097263
27.41813660,0.00111281
27.46582031,0.00106789
27.51350403,0.00088381
27.56118774,0.00057001
27.60887146,0.00030846
27.65655518,0.00022125
27.70423889,0.00011399
