Частота,Канал A
(kГц),(В)

0.00000000,0.29434800
0.04768372,0.20268210
0.09536743,0.13686620
0.14305115,0.04221300
0.19073486,0.00349776
0.23841858,0.00027641
0.28610229,0.00068488
0.33378601,0.00082380
0.38146973,0.00059061
0.42915344,0.00119193
0.47683716,0.00149613
0.52452087,0.00161377
0.57220459,0.00142369
0.61988831,0.00073045
0.66757202,0.00021649
0.71525574,0.00006826
0.76293945,0.00013925
0.81062317,0.00030535
0.85830688,0.00101730
0.90599060,0.00234663
0.95367432,0.00313901
1.00135803,0.00306202
1.04904175,0.00276894
1.09672546,0.00184897
1.14440918,0.00078518
1.19209290,0.00058621
1.23977661,0.00066934
1.28746033,0.00064808
1.33514404,0.00064556
1.38282776,0.00170010
1.43051147,0.00336054
1.47819519,0.00398521
1.52587891,0.00405181
1.57356262,0.00358935
1.62124634,0.00192285
1.66893005,0.00051283
1.71661377,0.00006913
1.76429749,0.00008129
1.81198120,0.00024040
1.85966492,0.00127877
1.90734863,0.00378187
1.95503235,0.00546776
2.00271606,0.00565202
2.05039978,0.00522708
2.09808350,0.00326908
2.14576721,0.00085156
2.19345093,0.00017014
2.24113464,0.00034397
2.28881836,0.00051149
2.33650208,0.00072205
2.38418579,0.00254865
2.43186951,0.00530100
2.47955322,0.00612999
2.52723694,0.00613647
2.57492065,0.00514997
2.62260437,0.00234957
2.67028809,0.00048464
2.71797180,0.00030381
2.76565552,0.00038102
2.81333923,0.00058295
2.86102295,0.00203548
2.90870667,0.00524347
2.95639038,0.00728105
3.00407410,0.00737976
3.05175781,0.00698145
3.09944153,0.00456456
3.14712524,0.00141357
3.19480896,0.00033400
3.24249268,0.00015368
3.29017639,0.00012361
3.33786011,0.00081668
3.38554382,0.00359250
3.43322754,0.00690727
3.48091125,0.00788113
3.52859497,0.00779030
3.57627869,0.00637737
3.62396240,0.00288183
3.67164612,0.00057587
3.71932983,0.00029802
3.76701355,0.00032285
3.81469727,0.00034042
3.86238098,0.00211425
3.91006470,0.00604833
3.95774841,0.00846279
4.00543213,0.00880000
4.05311584,0.00836930
4.10079956,0.00530154
4.14848328,0.00153110
4.19616699,0.00019918
4.24385071,0.00015354
4.29153442,0.00019640
4.33921814,0.00098630
4.38690186,0.00438189
4.43458557,0.00814052
4.48226929,0.00921012
4.52995300,0.00937005
4.57763672,0.00780110
4.62532043,0.00371529
4.67300415,0.00098269
4.72068787,0.00023034
4.76837158,0.00019556
4.81605530,0.00050088
4.86373901,0.00240345
4.91142273,0.00668934
4.95910645,0.00909416
5.00679016,0.00927988
5.05447388,0.00870253
5.10215759,0.00528985
5.14984131,0.00137579
5.19752502,0.00054022
5.24520874,0.00057024
5.29289246,0.00050287
5.34057617,0.00038718
5.38825989,0.00377396
5.43594360,0.00750905
5.48362732,0.00843867
5.53131104,0.00843460
5.57899475,0.00686758
5.62667847,0.00293644
5.67436218,0.00048448
5.72204590,0.00012636
5.76972961,0.00022183
5.81741333,0.00058517
5.86509705,0.00256820
5.91278076,0.00641893
5.96046448,0.00841192
6.00814819,0.00838839
6.05583191,0.00772140
6.10351563,0.00455239
6.15119934,0.00109584
6.19888306,0.00045084
6.24656677,0.00044327
6.29425049,0.00037382
6.34193420,0.00102056
6.38961792,0.00417456
6.43730164,0.00722365
6.48498535,0.00773463
6.53266907,0.00762470
6.58035278,0.00596415
6.62803650,0.00233471
6.67572021,0.00066771
6.72340393,0.00051332
6.77108765,0.00042034
6.81877136,0.00018318
6.86645508,0.00179451
6.91413879,0.00536062
6.96182251,0.00734806
7.00950623,0.00770233
7.05718994,0.00736588
7.10487366,0.00458583
7.15255737,0.00154168
7.20024109,0.00054485
7.24792480,0.00030255
7.29560852,0.00019701
7.34329224,0.00088669
7.39097595,0.00338059
7.43865967,0.00589415
7.48634338,0.00655123
7.53402710,0.00653971
7.58171082,0.00523287
7.62939453,0.00240338
7.67707825,0.00066489
7.72476196,0.00035736
7.77244568,0.00027145
7.82012939,0.00026069
7.86781311,0.00150544
7.91549683,0.00396379
7.96318054,0.00522886
8.01086426,0.00533937
8.05854797,0.00493114
8.10623169,0.00285966
8.15391541,0.00071676
8.20159912,0.00039730
8.24928284,0.00037716
8.29696655,0.00019896
8.34465027,0.00045317
8.39233398,0.00202201
8.44001770,0.00368814
8.48770142,0.00420838
8.53538513,0.00423717
8.58306885,0.00335596
8.63075256,0.00144157
8.67843628,0.00021934
8.72612000,0.00033134
8.77380371,0.00029622
8.82148743,0.00022128
8.86917114,0.00108035
8.91685486,0.00262230
8.96453857,0.00324601
9.01222229,0.00299871
9.05990601,0.00249972
9.10758972,0.00121564
9.15527344,0.00021156
9.20295715,0.00036081
9.25064087,0.00057582
9.29832458,0.00058670
9.34600830,0.00067277
9.39369202,0.00101872
9.44137573,0.00126886
9.48905945,0.00118029
9.53674316,0.00108761
9.58442688,0.00079371
9.63211060,0.00027737
9.67979431,0.00032078
9.72747803,0.00043433
9.77516174,0.00055690
9.82284546,0.00066038
9.87052917,0.00068039
9.91821289,0.00069587
9.96589661,0.00076632
10.01358032,0.00078112
10.06126404,0.00071220
10.10894775,0.00058347
10.15663147,0.00036674
10.20431519,0.00021490
10.25199890,0.00014896
10.29968262,0.00027749
10.34736633,0.00055056
10.39505005,0.00111438
10.44273376,0.00165195
10.49041748,0.00167662
10.53810120,0.00160436
10.58578491,0.00132455
10.63346863,0.00071113
10.68115234,0.00028779
10.72883606,0.00017742
10.77651978,0.00018549
10.82420349,0.00029949
10.87188721,0.00117793
10.91957092,0.00251121
10.96725464,0.00299335
11.01493835,0.00294205
11.06262207,0.00255421
11.11030579,0.00138021
11.15798950,0.00073703
11.20567322,0.00066917
11.25335693,0.00041684
11.30104065,0.00010971
11.34872437,0.00066311
11.39640808,0.00265076
11.44409180,0.00435465
11.49177551,0.00457522
11.53945923,0.00446918
11.58714294,0.00346475
11.63482666,0.00146138
11.68251038,0.00039442
11.73019409,0.00026122
11.77787781,0.00018691
11.82556152,0.00030046
11.87324524,0.00173931
11.92092896,0.00422246
11.96861267,0.00527987
12.01629639,0.00542355
12.06398010,0.00501067
12.11166382,0.00286806
12.15934753,0.00093292
12.20703125,0.00051800
12.25471497,0.00046402
12.30239868,0.00041471
12.35008240,0.00123615
12.39776611,0.00387145
12.44544983,0.00614059
12.49313354,0.00661994
12.54081726,0.00668149
12.58850098,0.00512223
12.63618469,0.00218344
12.68386841,0.00076364
12.73155212,0.00048011
12.77923584,0.00040006
12.82691956,0.00052321
12.87460327,0.00244131
12.92228699,0.00574814
12.96997070,0.00712239
13.01765442,0.00718588
13.06533813,0.00653118
13.11302185,0.00369437
13.16070557,0.00116584
13.20838928,0.00062456
13.25607300,0.00068367
13.30375671,0.00079289
13.35144043,0.00173661
13.39912415,0.00499097
13.44680786,0.00776735
13.49449158,0.00808352
13.54217529,0.00791354
13.58985901,0.00581182
13.63754272,0.00221124
13.68522644,0.00058734
13.73291016,0.00031591
13.78059387,0.00042792
13.82827759,0.00088612
13.87596130,0.00336675
13.92364502,0.00737330
13.97132874,0.00881415
14.01901245,0.00862657
14.06669617,0.00742829
14.11437988,0.00334284
14.16206360,0.00018053
14.20974731,0.00099049
14.25743103,0.00097180
14.30511475,0.00066852
14.35279846,0.00112656
14.40048218,0.00553200
14.44816589,0.00895162
14.49584961,0.00941700
14.54353333,0.00899341
14.59121704,0.00604449
14.63890076,0.00152412
14.68658447,0.00035886
14.73426819,0.00034407
14.78195190,0.00030673
14.82963562,0.00087672
14.87731934,0.00377566
14.92500305,0.00800375
14.97268677,0.00956837
15.02037048,0.00965198
15.06805420,0.00852745
15.11573792,0.00447374
15.16342163,0.00121357
15.21110535,0.00052260
15.25878906,0.00042543
15.30647278,0.00037256
15.35415649,0.00173064
15.40184021,0.00569173
15.44952393,0.00869740
15.49720764,0.00921233
15.54489136,0.00913592
15.59257507,0.00638457
15.64025879,0.00206851
15.68794250,0.00027522
15.73562622,0.00020669
15.78330994,0.00031704
15.83099365,0.00080994
15.87867737,0.00350163
15.92636108,0.00750485
15.97404480,0.00894076
16.02172852,0.00905774
16.06941223,0.00808109
16.11709595,0.00417096
16.16477966,0.00103299
16.21246338,0.00053633
16.26014709,0.00044781
16.30783081,0.00030713
16.35551453,0.00167979
16.40319824,0.00562857
16.45088196,0.00842235
16.49856567,0.00868056
16.54624939,0.00831605
16.59393311,0.00551821
16.64161682,0.00143577
16.68930054,0.00018199
16.73698425,0.00018594
16.78466797,0.00004878
16.83235168,0.00072450
16.88003540,0.00350254
16.92771912,0.00717569
16.97540283,0.00847279
17.02308655,0.00852079
17.07077026,0.00738651
17.11845398,0.00371336
17.16613770,0.00071007
17.21382141,0.00036817
17.26150513,0.00063378
17.30918884,0.00061407
17.35687256,0.00099316
17.40455627,0.00431121
17.45223999,0.00664078
17.49992371,0.00690941
17.54760742,0.00660087
17.59529114,0.00431895
17.64297485,0.00116077
17.69065857,0.00000788
17.73834229,0.00022981
17.78602600,0.00038654
17.83370972,0.00076626
17.88139343,0.00270307
17.92907715,0.00529791
17.97676086,0.00625141
18.02444458,0.00636656
18.07212830,0.00560829
18.11981201,0.00295428
18.16749573,0.00080366
18.21517944,0.00027324
18.26286316,0.00014351
18.31054688,0.00004555
18.35823059,0.00116082
18.40591431,0.00354375
18.45359802,0.00516956
18.50128174,0.00537534
18.54896545,0.00508177
18.59664917,0.00339316
18.64433289,0.00121297
18.69201660,0.00056633
18.73970032,0.00045098
18.78738403,0.00051215
18.83506775,0.00081076
18.88275146,0.00207454
18.93043518,0.00365804
18.97811890,0.00403433
19.02580261,0.00380658
19.07348633,0.00302254
19.12117004,0.00135944
19.16885376,0.00038890
19.21653748,0.00039993
19.26422119,0.00055140
19.31190491,0.00069917
19.35958862,0.00084564
19.40727234,0.00123671
19.45495605,0.00163572
19.50263977,0.00173801
19.55032349,0.00164651
19.59800720,0.00110195
19.64569092,0.00035564
19.69337463,0.00034886
19.74105835,0.00066413
19.78874207,0.00081234
19.83642578,0.00071537
19.88410950,0.00032369
19.93179321,0.00010318
19.97947693,0.00023616
20.02716064,0.00027594
20.07484436,0.00039379
20.12252808,0.00049874
20.17021179,0.00048779
20.21789551,0.00049830
20.26557922,0.00049419
20.31326294,0.00025392
20.36094666,0.00034698
20.40863037,0.00133849
20.45631409,0.00193638
20.50399780,0.00188652
20.55168152,0.00150966
20.59936523,0.00052437
20.64704895,0.00050986
20.69473267,0.00089657
20.74241638,0.00091479
20.79010010,0.00069724
20.83778381,0.00026683
20.88546753,0.00126072
20.93315125,0.00270288
20.98083496,0.00308969
21.02851868,0.00303560
21.07620239,0.00252166
21.12388611,0.00124022
21.17156982,0.00037070
21.21925354,0.00023088
21.26693726,0.00027330
21.31462097,0.00038898
21.36230469,0.00135924
21.40998840,0.00350930
21.45767212,0.00485295
21.50535583,0.00492360
21.55303955,0.00448256
21.60072327,0.00268347
21.64840698,0.00071297
21.69609070,0.00048009
21.74377441,0.00038259
21.79145813,0.00027436
21.83914185,0.00076060
21.88682556,0.00316927
21.93450928,0.00591480
21.98219299,0.00658104
22.02987671,0.00652360
22.07756042,0.00529091
22.12524414,0.00222036
22.17292786,0.00038573
22.22061157,0.00039966
22.26829529,0.00045207
22.31597900,0.00019319
22.36366272,0.00163708
22.41134644,0.00528293
22.45903015,0.00742162
22.50671387,0.00759369
22.55439758,0.00724696
22.60208130,0.00453939
22.64976501,0.00121575
22.69744873,0.00045608
22.74513245,0.00053578
22.79281616,0.00069349
22.84049988,0.00167482
22.88818359,0.00529073
22.93586731,0.00906396
22.98355103,0.00981092
23.03123474,0.00952299
23.07891846,0.00758544
23.12660217,0.00330968
23.17428589,0.00078229
23.22196960,0.00054508
23.26965332,0.00060225
23.31733704,0.00081204
23.36502075,0.00306514
23.41270447,0.00763064
23.46038818,0.01002676
23.50807190,0.01002294
23.55575562,0.00935932
23.60343933,0.00570769
23.65112305,0.00150607
23.69880676,0.00033224
23.74649048,0.00020834
23.79417419,0.00030309
23.84185791,0.00070837
23.88954163,0.00490315
23.93722534,0.00943248
23.98490906,0.01071020
24.03259277,0.01090863
24.08027649,0.00876779
24.12796021,0.00373001
24.17564392,0.00077178
24.22332764,0.00037225
24.27101135,0.00041648
24.31869507,0.00002711
24.36637878,0.00278269
24.41406250,0.00814618
24.46174622,0.01113598
24.50942993,0.01152134
24.55711365,0.01087755
24.60479736,0.00673849
24.65248108,0.00216371
24.70016479,0.00074932
24.74784851,0.00048190
24.79553223,0.00031545
24.84321594,0.00142258
24.89089966,0.00584561
24.93858337,0.01042863
24.98626709,0.01156887
25.03395081,0.01158505
25.08163452,0.00908384
25.12931824,0.00365308
25.17700195,0.00062115
25.22468567,0.00011886
25.27236938,0.00033136
25.32005310,0.00053688
25.36773682,0.00340304
25.41542053,0.00885946
25.46310425,0.01173787
25.51078796,0.01206019
25.55847168,0.01126952
25.60615540,0.00679416
25.65383911,0.00198849
25.70152283,0.00053700
25.74920654,0.00042215
25.79689026,0.00033263
25.84457397,0.00123741
25.89225769,0.00559680
25.93994141,0.01000112
25.98762512,0.01102910
26.03530884,0.01109343
26.08299255,0.00886258
26.13067627,0.00394087
26.17835999,0.00116606
26.22604370,0.00091465
26.27372742,0.00098387
26.32141113,0.00106960
26.36909485,0.00354891
26.41677856,0.00854128
26.46446228,0.01086744
26.51214600,0.01082926
26.55982971,0.00995092
26.60751343,0.00576988
26.65519714,0.00142032
26.70288086,0.00016317
26.75056458,0.00016873
26.79824829,0.00029211
26.84593201,0.00153195
26.89361572,0.00560603
26.94129944,0.00939338
26.98898315,0.01015001
27.03666687,0.01015613
27.08435059,0.00789205
27.13203430,0.00322842
27.17971802,0.00076507
27.22740173,0.00035968
27.27508545,0.00020193
27.32276917,0.00053247
27.37045288,0.00290609
27.41813660,0.00702428
27.46582031,0.00897612
27.51350403,0.00908403
27.56118774,0.00840009
27.60887146,0.00492372
27.65655518,0.00135195
27.70423889,0.00029816
