Частота,Канал A
(MГц),(mВ)

0.00000000,41.94250000
0.00038147,28.88458000
0.00076294,19.51389000
0.00114441,6.05026700
0.00152588,0.54992920
0.00190735,0.02830957
0.00228882,0.01596379
0.00267029,0.02154205
0.00305176,0.01445747
0.00343323,0.01245258
0.00381470,0.00689010
0.00419617,0.00319738
0.00457764,0.00714974
0.00495911,0.00768175
0.00534058,0.00987686
0.00572205,0.00986140
0.00610352,0.01357089
0.00648499,0.01644676
0.00686646,0.01889152
0.00724792,0.02024078
0.00762939,0.01734608
0.00801086,0.01115534
0.00839233,0.00816625
0.00877380,0.00491694
0.00915527,0.00426562
0.00953674,0.00133322
0.00991821,0.00235351
0.01029968,0.00024742
0.01068115,0.00334439
0.01106262,0.00524447
0.01144409,0.01120996
0.01182556,0.00930959
0.01220703,0.01059563
0.01258850,0.00571950
0.01296997,0.00270463
0.01335144,0.00866016
0.01373291,0.01159312
0.01411438,0.01665929
0.01449585,0.01678489
0.01487732,0.01564040
0.01525879,0.01236928
0.01564026,0.00832686
0.01602173,0.00505239
0.01640320,0.00627969
0.01678467,0.00727214
0.01716614,0.00770199
0.01754761,0.00373621
0.01792908,0.00771084
0.01831055,0.00950901
0.01869202,0.00884870
0.01907349,0.00659061
0.01945496,0.00340396
0.01983643,0.00672443
0.02021790,0.01204944
0.02059937,0.01464693
0.02098083,0.01474086
0.02136230,0.01309472
0.02174377,0.01252698
0.02212524,0.01115905
0.02250671,0.01203287
0.02288818,0.00971895
0.02326965,0.00635415
0.02365112,0.00276981
0.02403259,0.00415266
0.02441406,0.00780910
0.02479553,0.00953137
0.02517700,0.00871453
0.02555847,0.00714378
0.02593994,0.00370364
0.02632141,0.00262771
0.02670288,0.00354767
0.02708435,0.00195333
0.02746582,0.00264753
0.02784729,0.00316268
0.02822876,0.00242506
0.02861023,0.00277159
0.02899170,0.00348115
0.02937317,0.00564444
0.02975464,0.00815992
0.03013611,0.01018309
0.03051758,0.00990214
0.03089905,0.00831114
0.03128052,0.00346553
0.03166199,0.00254394
0.03204346,0.00539303
0.03242493,0.00774152
0.03280640,0.00969588
0.03318787,0.01155025
0.03356934,0.01137992
0.03395081,0.01111192
0.03433228,0.00708375
0.03471375,0.00549735
0.03509521,0.00227658
0.03547668,0.00255825
0.03585815,0.00289689
0.03623962,0.00583335
0.03662109,0.00440492
0.03700256,0.00405406
0.03738403,0.00125268
0.03776550,0.00285051
0.03814697,0.00468136
0.03852844,0.00859475
0.03890991,0.00808434
0.03929138,0.00797520
0.03967285,0.00280180
0.04005432,0.00256187
0.04043579,0.00849253
0.04081726,0.00839060
0.04119873,0.00759202
0.04158020,0.00517479
0.04196167,0.00607626
0.04234314,0.00505247
0.04272461,0.00646628
0.04310608,0.00220062
0.04348755,0.00177331
0.04386902,0.00787297
0.04425049,0.00812035
0.04463196,0.00864392
0.04501343,0.00601377
0.04539490,0.00376756
0.04577637,0.00153619
0.04615784,0.00461198
0.04653931,0.00407888
0.04692078,0.00615492
0.04730225,0.00490021
0.04768372,0.00537234
0.04806519,0.00466917
0.04844666,0.00747871
0.04882813,0.00699912
0.04920959,0.00978666
0.04959106,0.01085262
0.04997253,0.01150429
0.05035400,0.01011016
0.05073547,0.00796197
0.05111694,0.00672075
0.05149841,0.00382440
0.05187988,0.00132993
0.05226135,0.00355183
0.05264282,0.00610185
0.05302429,0.00767937
0.05340576,0.00654950
